question,answer
How many times does the letter 'l' appear in the word 'special'?,1
How many times does the letter 'v' appear in the word 'davis'?,1
How many times does the letter 'l' appear in the word 'highlights'?,1
How many times does the letter 't' appear in the word 'td'?,1
How many times does the letter 'g' appear in the word 'providing'?,1
How many times does the letter 'a' appear in the word 'loans'?,1
How many times does the letter 'd' appear in the word 'switched'?,1
How many times does the letter 'e' appear in the word 'superintendent'?,3
How many times does the letter 'j' appear in the word 'je'?,1
How many times does the letter 't' appear in the word 'youth'?,1
How many times does the letter 'q' appear in the word 'quad'?,1
How many times does the letter 'e' appear in the word 'egg'?,1
How many times does the letter 'w' appear in the word 'workflow'?,2
How many times does the letter 'r' appear in the word 'worthy'?,1
How many times does the letter 't' appear in the word 'coordinated'?,1
How many times does the letter 'o' appear in the word 'howto'?,2
How many times does the letter 't' appear in the word 'movement'?,1
How many times does the letter 't' appear in the word 'court'?,1
How many times does the letter 'd' appear in the word 'administered'?,2
How many times does the letter 'l' appear in the word 'la'?,1
How many times does the letter 'l' appear in the word 'silicon'?,1
How many times does the letter 'l' appear in the word 'till'?,2
How many times does the letter 'j' appear in the word 'jelsoft'?,1
How many times does the letter 't' appear in the word 'thee'?,1
How many times does the letter 'u' appear in the word 'run'?,1
How many times does the letter 'i' appear in the word 'wired'?,1
How many times does the letter 'n' appear in the word 'treatments'?,1
How many times does the letter 'e' appear in the word 'nose'?,1
How many times does the letter 'v' appear in the word 'variance'?,1
How many times does the letter 'p' appear in the word 'parcel'?,1
How many times does the letter 'a' appear in the word 'failed'?,1
How many times does the letter 'e' appear in the word 'rentcom'?,1
How many times does the letter 'r' appear in the word 'entrepreneur'?,3
How many times does the letter 'r' appear in the word 'carey'?,1
How many times does the letter 'l' appear in the word 'influenced'?,1
How many times does the letter 'm' appear in the word 'may'?,1
How many times does the letter 'l' appear in the word 'lodging'?,1
How many times does the letter 'e' appear in the word 'infinite'?,1
How many times does the letter 'o' appear in the word 'coin'?,1
How many times does the letter 'b' appear in the word 'colombia'?,1
How many times does the letter 'g' appear in the word 'pig'?,1
How many times does the letter 'e' appear in the word 'piece'?,2
How many times does the letter 'n' appear in the word 'wooden'?,1
How many times does the letter 'b' appear in the word 'hebrew'?,1
How many times does the letter 's' appear in the word 'updates'?,1
How many times does the letter 'e' appear in the word 'lewis'?,1
How many times does the letter 'a' appear in the word 'a'?,1
How many times does the letter 'l' appear in the word 'comply'?,1
How many times does the letter 'v' appear in the word 'arrive'?,1
How many times does the letter 'd' appear in the word 'ampland'?,1
How many times does the letter 'd' appear in the word 'president'?,1
How many times does the letter 'h' appear in the word 'what'?,1
How many times does the letter 'd' appear in the word 'devices'?,1
How many times does the letter 'i' appear in the word 'findings'?,2
How many times does the letter 'a' appear in the word 'apple'?,1
How many times does the letter 'n' appear in the word 'engines'?,2
How many times does the letter 'o' appear in the word 'reactions'?,1
How many times does the letter 'd' appear in the word 'verified'?,1
How many times does the letter 'o' appear in the word 'schools'?,2
How many times does the letter 'p' appear in the word 'phys'?,1
How many times does the letter 'a' appear in the word 'diagram'?,2
How many times does the letter 'a' appear in the word 'addressing'?,1
How many times does the letter 'n' appear in the word 'fund'?,1
How many times does the letter 'l' appear in the word 'carroll'?,2
How many times does the letter 'v' appear in the word 'olive'?,1
How many times does the letter 'j' appear in the word 'jurisdiction'?,1
How many times does the letter 'n' appear in the word 'isolation'?,1
How many times does the letter 'i' appear in the word 'medicines'?,2
How many times does the letter 'a' appear in the word 'caused'?,1
How many times does the letter 'e' appear in the word 'heading'?,1
How many times does the letter 'i' appear in the word 'attribute'?,1
How many times does the letter 'd' appear in the word 'side'?,1
How many times does the letter 'a' appear in the word 'hawk'?,1
How many times does the letter 's' appear in the word 'assist'?,3
How many times does the letter 'e' appear in the word 'surrey'?,1
How many times does the letter 'i' appear in the word 'estimation'?,2
How many times does the letter 't' appear in the word 'enter'?,1
How many times does the letter 'g' appear in the word 'goods'?,1
How many times does the letter 'm' appear in the word 'moderate'?,1
How many times does the letter 'a' appear in the word 'creature'?,1
How many times does the letter 'r' appear in the word 'courage'?,1
How many times does the letter 't' appear in the word 'prostate'?,2
How many times does the letter 'e' appear in the word 'espn'?,1
How many times does the letter 'e' appear in the word 'tribute'?,1
How many times does the letter 't' appear in the word 'top'?,1
How many times does the letter 'd' appear in the word 'dressed'?,2
How many times does the letter 'z' appear in the word 'liz'?,1
How many times does the letter 's' appear in the word 'mpegs'?,1
How many times does the letter 'c' appear in the word 'col'?,1
How many times does the letter 'a' appear in the word 'alcohol'?,1
How many times does the letter 's' appear in the word 'licenses'?,2
How many times does the letter 's' appear in the word 'societies'?,2
How many times does the letter 'r' appear in the word 'gras'?,1
How many times does the letter 'h' appear in the word 'bandwidth'?,1
How many times does the letter 'n' appear in the word 'range'?,1
How many times does the letter 'g' appear in the word 'staffing'?,1
How many times does the letter 'a' appear in the word 'explains'?,1
How many times does the letter 'u' appear in the word 'hurricane'?,1
How many times does the letter 'd' appear in the word 'id'?,1
How many times does the letter 'h' appear in the word 'although'?,2
How many times does the letter 'o' appear in the word 'sharon'?,1
How many times does the letter 'e' appear in the word 'complement'?,2
How many times does the letter 'e' appear in the word 'desperate'?,3
How many times does the letter 'k' appear in the word 'working'?,1
How many times does the letter 'i' appear in the word 'violence'?,1
How many times does the letter 'o' appear in the word 'boulder'?,1
How many times does the letter 's' appear in the word 'specialized'?,1
How many times does the letter 'c' appear in the word 'recycling'?,2
How many times does the letter 'b' appear in the word 'both'?,1
How many times does the letter 'a' appear in the word 'actor'?,1
How many times does the letter 'r' appear in the word 'moisture'?,1
How many times does the letter 'y' appear in the word 'cayman'?,1
How many times does the letter 'e' appear in the word 'cleaners'?,2
How many times does the letter 's' appear in the word 'lose'?,1
How many times does the letter 't' appear in the word 'britannica'?,1
How many times does the letter 'a' appear in the word 'qualities'?,1
How many times does the letter 'i' appear in the word 'chip'?,1
How many times does the letter 'w' appear in the word 'bowling'?,1
How many times does the letter 'e' appear in the word 'nowhere'?,2
How many times does the letter 'i' appear in the word 'supervisors'?,1
How many times does the letter 'p' appear in the word 'spanish'?,1
How many times does the letter 'n' appear in the word 'sans'?,1
How many times does the letter 'w' appear in the word 'now'?,1
How many times does the letter 't' appear in the word 'table'?,1
How many times does the letter 'c' appear in the word 'syndicate'?,1
How many times does the letter 'c' appear in the word 'closing'?,1
How many times does the letter 'i' appear in the word 'iv'?,1
How many times does the letter 'e' appear in the word 'february'?,1
How many times does the letter 'e' appear in the word 'franchise'?,1
How many times does the letter 'o' appear in the word 'clock'?,1
How many times does the letter 'i' appear in the word 'abilities'?,3
How many times does the letter 'e' appear in the word 'note'?,1
How many times does the letter 'n' appear in the word 'pending'?,2
How many times does the letter 'y' appear in the word 'healthy'?,1
How many times does the letter 's' appear in the word 'suzuki'?,1
How many times does the letter 'n' appear in the word 'noon'?,2
How many times does the letter 'i' appear in the word 'asin'?,1
How many times does the letter 'a' appear in the word 'trains'?,1
How many times does the letter 'n' appear in the word 'commissions'?,1
How many times does the letter 'g' appear in the word 'sterling'?,1
How many times does the letter 'b' appear in the word 'keyboard'?,1
How many times does the letter 'c' appear in the word 'ci'?,1
How many times does the letter 'r' appear in the word 'secretariat'?,2
How many times does the letter 'o' appear in the word 'victory'?,1
How many times does the letter 'd' appear in the word 'dv'?,1
How many times does the letter 'm' appear in the word 'mas'?,1
How many times does the letter 'd' appear in the word 'flood'?,1
How many times does the letter 'r' appear in the word 'support'?,1
How many times does the letter 'n' appear in the word 'broadcasting'?,1
How many times does the letter 'd' appear in the word 'period'?,1
How many times does the letter 'o' appear in the word 'too'?,2
How many times does the letter 't' appear in the word 'rhythm'?,1
How many times does the letter 'm' appear in the word 'some'?,1
How many times does the letter 'n' appear in the word 'inn'?,2
How many times does the letter 'e' appear in the word 'tracked'?,1
How many times does the letter 'a' appear in the word 'payable'?,2
How many times does the letter 'v' appear in the word 'movie'?,1
How many times does the letter 'b' appear in the word 'bucks'?,1
How many times does the letter 'n' appear in the word 'remind'?,1
How many times does the letter 'd' appear in the word 'stood'?,1
How many times does the letter 'i' appear in the word 'biological'?,2
How many times does the letter 'd' appear in the word 'render'?,1
How many times does the letter 't' appear in the word 'accepted'?,1
How many times does the letter 'r' appear in the word 'research'?,2
How many times does the letter 'i' appear in the word 'ringtone'?,1
How many times does the letter 'x' appear in the word 'inbox'?,1
How many times does the letter 't' appear in the word 'oct'?,1
How many times does the letter 'g' appear in the word 'rugs'?,1
How many times does the letter 'i' appear in the word 'visibility'?,4
How many times does the letter 'h' appear in the word 'shot'?,1
How many times does the letter 'r' appear in the word 'proceeding'?,1
How many times does the letter 'm' appear in the word 'ml'?,1
How many times does the letter 'a' appear in the word 'ass'?,1
How many times does the letter 'o' appear in the word 'wisdom'?,1
How many times does the letter 'z' appear in the word 'hazardous'?,1
How many times does the letter 'i' appear in the word 'rio'?,1
How many times does the letter 'p' appear in the word 'helped'?,1
How many times does the letter 'h' appear in the word 'ethics'?,1
How many times does the letter 'k' appear in the word 'kenny'?,1
How many times does the letter 'u' appear in the word 'yu'?,1
How many times does the letter 'd' appear in the word 'replaced'?,1
How many times does the letter 'r' appear in the word 'comparison'?,1
How many times does the letter 'r' appear in the word 'traditional'?,1
How many times does the letter 'o' appear in the word 'keno'?,1
How many times does the letter 'a' appear in the word 'dan'?,1
How many times does the letter 'p' appear in the word 'cap'?,1
How many times does the letter 'e' appear in the word 'dressing'?,1
How many times does the letter 'f' appear in the word 'fs'?,1
How many times does the letter 'r' appear in the word 'soldiers'?,1
How many times does the letter 'v' appear in the word 'navigation'?,1
How many times does the letter 't' appear in the word 'attacks'?,2
How many times does the letter 't' appear in the word 'accidents'?,1
How many times does the letter 'p' appear in the word 'disappointed'?,2
How many times does the letter 's' appear in the word 'consistency'?,2
How many times does the letter 'a' appear in the word 'craig'?,1
How many times does the letter 'c' appear in the word 'lc'?,1
How many times does the letter 'f' appear in the word 'familiar'?,1
How many times does the letter 'n' appear in the word 'engine'?,2
How many times does the letter 'y' appear in the word 'syracuse'?,1
How many times does the letter 'f' appear in the word 'transform'?,1
How many times does the letter 'o' appear in the word 'carlo'?,1
How many times does the letter 'l' appear in the word 'mostly'?,1
How many times does the letter 'p' appear in the word 'upon'?,1
How many times does the letter 'p' appear in the word 'expiration'?,1
How many times does the letter 'e' appear in the word 'other'?,1
How many times does the letter 'r' appear in the word 'customers'?,1
How many times does the letter 'g' appear in the word 'nitrogen'?,1
How many times does the letter 's' appear in the word 'browsers'?,2
How many times does the letter 'i' appear in the word 'tamil'?,1
How many times does the letter 'n' appear in the word 'extends'?,1
How many times does the letter 's' appear in the word 'emphasis'?,2
How many times does the letter 'e' appear in the word 'feel'?,2
How many times does the letter 'd' appear in the word 'printed'?,1
How many times does the letter 'r' appear in the word 'birds'?,1
How many times does the letter 't' appear in the word 'stuart'?,2
How many times does the letter 'b' appear in the word 'bahamas'?,1
How many times does the letter 'e' appear in the word 'res'?,1
How many times does the letter 'f' appear in the word 'facts'?,1
How many times does the letter 'i' appear in the word 'kevin'?,1
How many times does the letter 'u' appear in the word 'und'?,1
How many times does the letter 'n' appear in the word 'invision'?,2
How many times does the letter 's' appear in the word 'substances'?,3
How many times does the letter 'b' appear in the word 'bundle'?,1
How many times does the letter 'g' appear in the word 'images'?,1
How many times does the letter 'n' appear in the word 'novel'?,1
How many times does the letter 'c' appear in the word 'discount'?,1
How many times does the letter 'd' appear in the word 'discrete'?,1
How many times does the letter 'v' appear in the word 'surveys'?,1
How many times does the letter 'l' appear in the word 'reasonable'?,1
How many times does the letter 'a' appear in the word 'fear'?,1
How many times does the letter 'e' appear in the word 'recently'?,2
How many times does the letter 'r' appear in the word 'wonderful'?,1
How many times does the letter 'm' appear in the word 'metals'?,1
How many times does the letter 'i' appear in the word 'window'?,1
How many times does the letter 'a' appear in the word 'morgan'?,1
How many times does the letter 's' appear in the word 'stone'?,1
How many times does the letter 'p' appear in the word 'ppm'?,2
How many times does the letter 'h' appear in the word 'charleston'?,1
How many times does the letter 'h' appear in the word 'length'?,1
How many times does the letter 'i' appear in the word 'rides'?,1
How many times does the letter 'i' appear in the word 'tonight'?,1
How many times does the letter 's' appear in the word 'sessions'?,4
How many times does the letter 'i' appear in the word 'definitions'?,3
How many times does the letter 't' appear in the word 'asset'?,1
How many times does the letter 'e' appear in the word 'flesh'?,1
How many times does the letter 'e' appear in the word 'river'?,1
How many times does the letter 'r' appear in the word 'theory'?,1
How many times does the letter 'b' appear in the word 'bed'?,1
How many times does the letter 'd' appear in the word 'amended'?,2
How many times does the letter 'p' appear in the word 'pic'?,1
How many times does the letter 'h' appear in the word 'thomas'?,1
How many times does the letter 's' appear in the word 'represents'?,2
How many times does the letter 'y' appear in the word 'ecology'?,1
How many times does the letter 't' appear in the word 'kate'?,1
How many times does the letter 'f' appear in the word 'flyer'?,1
How many times does the letter 'g' appear in the word 'gig'?,2
How many times does the letter 'a' appear in the word 'read'?,1
How many times does the letter 's' appear in the word 'movers'?,1
How many times does the letter 'a' appear in the word 'abstract'?,2
How many times does the letter 'm' appear in the word 'ceramic'?,1
How many times does the letter 's' appear in the word 'clocks'?,1
How many times does the letter 'd' appear in the word 'dating'?,1
How many times does the letter 'g' appear in the word 'tobago'?,1
How many times does the letter 'r' appear in the word 'ur'?,1
How many times does the letter 'r' appear in the word 'anger'?,1
How many times does the letter 'u' appear in the word 'mountains'?,1
How many times does the letter 'e' appear in the word 'meet'?,2
How many times does the letter 'w' appear in the word 'twist'?,1
How many times does the letter 'r' appear in the word 'circus'?,1
How many times does the letter 'b' appear in the word 'bars'?,1
How many times does the letter 't' appear in the word 'newcastle'?,1
How many times does the letter 'p' appear in the word 'supervision'?,1
How many times does the letter 'x' appear in the word 'indexes'?,1
How many times does the letter 'r' appear in the word 'meter'?,1
How many times does the letter 'y' appear in the word 'ty'?,1
How many times does the letter 'i' appear in the word 'mild'?,1
How many times does the letter 'e' appear in the word 'online'?,1
How many times does the letter 'n' appear in the word 'damn'?,1
How many times does the letter 'm' appear in the word 'zoom'?,1
How many times does the letter 'r' appear in the word 'retained'?,1
How many times does the letter 't' appear in the word 'brutal'?,1
How many times does the letter 'l' appear in the word 'nhl'?,1
How many times does the letter 'a' appear in the word 'legitimate'?,1
How many times does the letter 'p' appear in the word 'development'?,1
How many times does the letter 'c' appear in the word 'healthcare'?,1
How many times does the letter 'a' appear in the word 'meant'?,1
How many times does the letter 'i' appear in the word 'mice'?,1
How many times does the letter 'a' appear in the word 'specially'?,1
How many times does the letter 'a' appear in the word 'mustang'?,1
How many times does the letter 'e' appear in the word 'subsection'?,1
How many times does the letter 'r' appear in the word 'rows'?,1
How many times does the letter 's' appear in the word 'nested'?,1
How many times does the letter 'u' appear in the word 'brunswick'?,1
How many times does the letter 's' appear in the word 'synthesis'?,3
How many times does the letter 'v' appear in the word 'slovakia'?,1
How many times does the letter 'u' appear in the word 'during'?,1
How many times does the letter 'r' appear in the word 'york'?,1
How many times does the letter 'r' appear in the word 'surname'?,1
How many times does the letter 'l' appear in the word 'philosophy'?,1
How many times does the letter 'd' appear in the word 'dutch'?,1
How many times does the letter 's' appear in the word 'resolutions'?,2
How many times does the letter 'v' appear in the word 'cv'?,1
How many times does the letter 'n' appear in the word 'currencies'?,1
How many times does the letter 'i' appear in the word 'nine'?,1
How many times does the letter 'n' appear in the word 'bargains'?,1
How many times does the letter 'a' appear in the word 'bibliographic'?,1
How many times does the letter 'm' appear in the word 'olympic'?,1
How many times does the letter 'd' appear in the word 'delta'?,1
How many times does the letter 's' appear in the word 'profits'?,1
How many times does the letter 'e' appear in the word 'tournaments'?,1
How many times does the letter 'd' appear in the word 'broader'?,1
How many times does the letter 'o' appear in the word 'shoppercom'?,2
How many times does the letter 'v' appear in the word 'motivated'?,1
How many times does the letter 'k' appear in the word 'kde'?,1
How many times does the letter 'i' appear in the word 'facing'?,1
How many times does the letter 'h' appear in the word 'thickness'?,1
How many times does the letter 's' appear in the word 'cluster'?,1
How many times does the letter 't' appear in the word 'detail'?,1
How many times does the letter 'n' appear in the word 'fundamentals'?,2
How many times does the letter 'o' appear in the word 'software'?,1
How many times does the letter 'a' appear in the word 'allan'?,2
How many times does the letter 'a' appear in the word 'cingular'?,1
How many times does the letter 'p' appear in the word 'physiology'?,1
How many times does the letter 'l' appear in the word 'sol'?,1
How many times does the letter 'i' appear in the word 'recommendations'?,1
How many times does the letter 'u' appear in the word 'customise'?,1
How many times does the letter 'r' appear in the word 'relay'?,1
How many times does the letter 's' appear in the word 'specific'?,1
How many times does the letter 'n' appear in the word 'concern'?,2
How many times does the letter 'n' appear in the word 'learn'?,1
How many times does the letter 'o' appear in the word 'o'?,1
How many times does the letter 'h' appear in the word 'ashley'?,1
How many times does the letter 'i' appear in the word 'allied'?,1
How many times does the letter 's' appear in the word 'issn'?,2
How many times does the letter 'r' appear in the word 'ross'?,1
How many times does the letter 'c' appear in the word 'pace'?,1
How many times does the letter 'd' appear in the word 'adventure'?,1
How many times does the letter 'a' appear in the word 'alerts'?,1
How many times does the letter 'n' appear in the word 'interval'?,1
How many times does the letter 'i' appear in the word 'provisions'?,2
How many times does the letter 's' appear in the word 'fast'?,1
How many times does the letter 'o' appear in the word 'solar'?,1
How many times does the letter 'n' appear in the word 'alternatives'?,1
How many times does the letter 'i' appear in the word 'plugins'?,1
How many times does the letter 'g' appear in the word 'vegetable'?,1
How many times does the letter 'a' appear in the word 'hard'?,1
How many times does the letter 'l' appear in the word 'airlines'?,1
How many times does the letter 'a' appear in the word 'al'?,1
How many times does the letter 'a' appear in the word 'bras'?,1
How many times does the letter 'j' appear in the word 'joe'?,1
How many times does the letter 'c' appear in the word 'coaching'?,2
How many times does the letter 'a' appear in the word 'accommodations'?,2
How many times does the letter 'p' appear in the word 'compatibility'?,1
How many times does the letter 'o' appear in the word 'screenshot'?,1
How many times does the letter 'd' appear in the word 'featured'?,1
How many times does the letter 'e' appear in the word 'parent'?,1
How many times does the letter 'u' appear in the word 'hub'?,1
How many times does the letter 'i' appear in the word 'behind'?,1
How many times does the letter 'y' appear in the word 'byte'?,1
How many times does the letter 's' appear in the word 'tennessee'?,2
How many times does the letter 'i' appear in the word 'multi'?,1
How many times does the letter 'n' appear in the word 'mission'?,1
How many times does the letter 's' appear in the word 'shoot'?,1
How many times does the letter 'r' appear in the word 'cornwall'?,1
How many times does the letter 'l' appear in the word 'lg'?,1
How many times does the letter 'r' appear in the word 'airports'?,2
How many times does the letter 'p' appear in the word 'perry'?,1
How many times does the letter 'i' appear in the word 'captain'?,1
How many times does the letter 's' appear in the word 'promises'?,2
How many times does the letter 'i' appear in the word 'correlation'?,1
How many times does the letter 'i' appear in the word 'chips'?,1
How many times does the letter 'o' appear in the word 'coding'?,1
How many times does the letter 'd' appear in the word 'spending'?,1
How many times does the letter 'i' appear in the word 'printer'?,1
How many times does the letter 'a' appear in the word 'ima'?,1
How many times does the letter 'e' appear in the word 'democrat'?,1
How many times does the letter 'g' appear in the word 'ensuring'?,1
How many times does the letter 'z' appear in the word 'maximize'?,1
How many times does the letter 'n' appear in the word 'functions'?,2
How many times does the letter 'i' appear in the word 'site'?,1
How many times does the letter 'n' appear in the word 'lynn'?,2
How many times does the letter 'i' appear in the word 'willing'?,2
How many times does the letter 'n' appear in the word 'apparent'?,1
How many times does the letter 'e' appear in the word 'screensaver'?,3
How many times does the letter 'd' appear in the word 'sustained'?,1
How many times does the letter 'd' appear in the word 'saturday'?,1
How many times does the letter 'o' appear in the word 'columbia'?,1
How many times does the letter 's' appear in the word 'positions'?,2
How many times does the letter 'b' appear in the word 'isbn'?,1
How many times does the letter 'c' appear in the word 'gmc'?,1
How many times does the letter 'y' appear in the word 'clay'?,1
How many times does the letter 'o' appear in the word 'exceptions'?,1
How many times does the letter 't' appear in the word 'authors'?,1
How many times does the letter 'r' appear in the word 'heroes'?,1
How many times does the letter 'a' appear in the word 'indian'?,1
How many times does the letter 'p' appear in the word 'applicant'?,2
How many times does the letter 'o' appear in the word 'monica'?,1
How many times does the letter 'e' appear in the word 'reserve'?,3
How many times does the letter 's' appear in the word 'industry'?,1
How many times does the letter 'w' appear in the word 'wayne'?,1
How many times does the letter 'i' appear in the word 'aluminium'?,2
How many times does the letter 'r' appear in the word 'brings'?,1
How many times does the letter 'n' appear in the word 'len'?,1
How many times does the letter 't' appear in the word 'cast'?,1
How many times does the letter 'h' appear in the word 'phrase'?,1
How many times does the letter 'e' appear in the word 'character'?,1
How many times does the letter 'r' appear in the word 'parameters'?,2
How many times does the letter 'n' appear in the word 'andy'?,1
How many times does the letter 'n' appear in the word 'answering'?,2
How many times does the letter 'l' appear in the word 'cleanup'?,1
How many times does the letter 'n' appear in the word 'even'?,1
How many times does the letter 'c' appear in the word 'cited'?,1
How many times does the letter 'o' appear in the word 'methodology'?,3
How many times does the letter 't' appear in the word 'str'?,1
How many times does the letter 'o' appear in the word 'motherboard'?,2
How many times does the letter 'v' appear in the word 'loving'?,1
How many times does the letter 'l' appear in the word 'psychology'?,1
How many times does the letter 'm' appear in the word 'terrorism'?,1
How many times does the letter 'n' appear in the word 'representations'?,2
How many times does the letter 'l' appear in the word 'volumes'?,1
How many times does the letter 't' appear in the word 'trees'?,1
How many times does the letter 'l' appear in the word 'clients'?,1
How many times does the letter 'e' appear in the word 'declaration'?,1
How many times does the letter 't' appear in the word 'stated'?,2
How many times does the letter 'i' appear in the word 'algorithm'?,1
How many times does the letter 'i' appear in the word 'designed'?,1
How many times does the letter 'i' appear in the word 'mathematical'?,1
How many times does the letter 'p' appear in the word 'jeep'?,1
How many times does the letter 'c' appear in the word 'correction'?,2
How many times does the letter 'l' appear in the word 'republic'?,1
How many times does the letter 'e' appear in the word 'implemented'?,3
How many times does the letter 'd' appear in the word 'sides'?,1
How many times does the letter 'u' appear in the word 'summit'?,1
How many times does the letter 's' appear in the word 'slut'?,1
How many times does the letter 'a' appear in the word 'demands'?,1
How many times does the letter 't' appear in the word 'ta'?,1
How many times does the letter 'p' appear in the word 'cups'?,1
How many times does the letter 'e' appear in the word 'gathered'?,2
How many times does the letter 'i' appear in the word 'wide'?,1
How many times does the letter 'n' appear in the word 'zone'?,1
How many times does the letter 'o' appear in the word 'yorkshire'?,1
How many times does the letter 'r' appear in the word 'recording'?,2
How many times does the letter 'a' appear in the word 'casa'?,2
How many times does the letter 'e' appear in the word 'escape'?,2
How many times does the letter 'g' appear in the word 'graduation'?,1
How many times does the letter 'f' appear in the word 'plaintiff'?,2
How many times does the letter 'm' appear in the word 'excitement'?,1
How many times does the letter 'n' appear in the word 'connection'?,3
How many times does the letter 'g' appear in the word 'rough'?,1
